0.002,0.45,0.01,1.04
0.007,0.37,0.01,1.15
0.012,0.38,0.02,1.16
0.017,0.45,0.03,1.03
0.023,0.51,0.07,0.81
0.027,0.5,0.14,0.61
0.035,0.48,0.21,0.54
0.037,0.48,0.26,0.64
0.042,0.51,0.32,0.88
0.047,0.57,0.37,1.24
0.053,0.6,0.4,1.59
0.057,0.58,0.39,1.91
0.064,0.5,0.31,2.15
0.076,0.4,0.21,2.31
0.078,0.29,0.12,2.38
0.083,0.19,0.06,2.33
0.084,0.1,0.06,2.2
0.102,0.07,0.09,2.03
0.104,0.09,0.15,1.86
0.105,0.13,0.22,1.72
0.106,0.2,0.28,1.65
0.108,0.26,0.35,1.63
0.113,0.31,0.4,1.65
0.121,0.35,0.45,1.69
0.127,0.38,0.48,1.75
0.128,0.41,0.48,1.83
0.133,0.43,0.48,1.89
0.142,0.44,0.47,1.92
0.144,0.45,0.47,1.87
0.16,0.45,0.49,1.77
0.162,0.43,0.52,1.62
0.163,0.41,0.54,1.43
0.164,0.37,0.55,1.23
0.176,0.32,0.54,1.06
0.177,0.19,0.52,0.81
0.178,0.11,0.5,0.74
0.191,0.05,0.48,0.66
0.193,0,0.48,0.58
0.195,-0.03,0.47,0.5
0.217,-0.06,0.46,0.42
0.219,-0.07,0.44,0.34
0.221,-0.08,0.42,0.28
0.222,-0.09,0.39,0.25
0.224,-0.13,0.37,0.26
0.226,-0.16,0.34,0.29
0.229,-0.17,0.3,0.33
0.236,-0.19,0.28,0.36
0.238,-0.22,0.26,0.39
0.244,-0.26,0.25,0.39
0.266,-0.3,0.24,0.39
0.267,-0.35,0.23,0.37
0.269,-0.4,0.22,0.36
0.27,-0.43,0.21,0.36
0.271,-0.45,0.23,0.38
0.274,-0.43,0.25,0.41
0.279,-0.41,0.28,0.44
0.288,-0.37,0.31,0.45
0.29,-0.31,0.34,0.43
0.295,-0.26,0.37,0.38
0.304,-0.25,0.4,0.32
0.305,-0.26,0.41,0.25
0.309,-0.27,0.42,0.2
0.319,-0.29,0.43,0.17
0.32,-0.32,0.45,0.17
0.324,-0.36,0.47,0.17
0.329,-0.4,0.48,0.16
0.335,-0.44,0.48,0.16
0.339,-0.48,0.48,0.18
0.344,-0.56,0.47,0.23
0.369,-0.64,0.44,0.3
0.372,-0.73,0.43,0.38
0.374,-0.81,0.41,0.47
0.375,-0.87,0.38,0.57
0.376,-0.91,0.37,0.68
0.377,-0.93,0.36,0.77
0.38,-0.91,0.38,0.9
0.39,-0.85,0.42,1.01
0.391,-0.78,0.49,1.13
0.395,-0.69,0.61,1.24
0.405,-0.61,0.74,1.28
0.406,-0.55,0.86,1.29
0.41,-0.56,0.99,1.29
0.42,-0.61,1.1,1.38
0.421,-0.65,1.2,1.59
0.425,-0.68,1.28,1.9
0.432,-0.69,1.34,2.33
0.437,-0.66,1.41,3.28
0.44,-0.6,1.37,3.67
0.445,-0.57,1.25,3.92
0.452,-0.56,1.09,4.01
0.455,-0.57,0.93,4.01
0.46,-0.57,0.78,3.92
0.471,-0.54,0.68,3.67
0.472,-0.49,0.64,3.37
0.476,-0.39,0.64,3.1
0.485,-0.25,0.67,2.87
0.486,-0.09,0.69,2.72
0.49,0.06,0.72,2.61
0.495,0.17,0.72,2.54
0.518,0.26,0.7,2.49
0.557,0.34,0.65,2.46
0.558,0.41,0.59,2.38
0.559,0.46,0.53,2.28
0.56,0.47,0.46,2.14
0.562,0.42,0.38,2.01
0.563,0.36,0.3,1.89
0.564,0.27,0.22,1.77
0.565,0.18,0.13,1.64
0.566,0.12,0.04,1.53
0.567,0.05,-0.05,1.42
0.568,0.03,-0.11,1.29
0.57,0.03,-0.16,1.16
0.571,0.06,-0.2,1.02
0.572,0.1,-0.24,0.87
0.592,0.15,-0.28,0.71
0.594,0.21,-0.3,0.59
0.595,0.28,-0.29,0.46
0.595,0.32,-0.29,0.35
0.599,0.35,-0.32,0.25
0.603,0.38,-0.35,0.16
0.606,0.4,-0.39,0.08
0.611,0.41,-0.43,0.02
0.628,0.42,-0.47,-0.01
0.629,0.42,-0.5,-0.03
0.632,0.41,-0.55,-0.06
0.633,0.4,-0.61,-0.07
0.657,0.38,-0.67,-0.07
0.658,0.35,-0.73,-0.08
0.659,0.32,-0.77,-0.08
0.66,0.3,-0.78,-0.1
0.661,0.28,-0.8,-0.14
0.662,0.26,-0.82,-0.19
0.669,0.23,-0.82,-0.26
0.672,0.22,-0.83,-0.33
0.677,0.23,-0.81,-0.38
0.685,0.25,-0.77,-0.41
0.687,0.27,-0.73,-0.45
0.692,0.28,-0.68,-0.5
0.697,0.35,-0.61,-0.6
0.703,0.38,-0.59,-0.62
0.707,0.41,-0.56,-0.63
0.712,0.45,-0.54,-0.64
0.719,0.49,-0.51,-0.6
0.723,0.52,-0.49,-0.55
0.727,0.55,-0.48,-0.5
0.733,0.59,-0.48,-0.44
0.737,0.63,-0.49,-0.34
0.742,0.65,-0.5,-0.18
0.747,0.66,-0.53,-0.01
0.752,0.66,-0.54,0.17
0.757,0.66,-0.54,0.34
0.762,0.63,-0.56,0.51
0.771,0.54,-0.55,0.68
0.772,0.45,-0.51,0.78
0.777,0.45,-0.42,0.78
0.787,0.57,-0.33,0.69
0.788,0.69,-0.27,0.55
0.792,0.8,-0.22,0.43
0.801,0.87,-0.16,0.44
0.802,0.91,-0.07,0.58
0.807,0.9,0.06,0.87
0.812,0.84,0.21,1.24
0.818,0.76,0.34,1.68
0.823,0.68,0.43,2.19
0.828,0.56,0.45,2.79
0.835,0.47,0.4,3.31
0.838,0.36,0.35,3.73
0.843,0.33,0.35,3.93
0.851,0.18,0.37,4
0.853,0.15,0.48,3.88
0.858,0.17,0.63,3.66
0.863,0.21,0.77,3.43
0.868,0.3,0.91,3.25
0.873,0.38,1.04,3.12
0.878,0.45,1.14,3
0.885,0.52,1.21,2.88
0.888,0.57,1.25,2.79
0.893,0.59,1.26,2.67
0.901,0.59,1.25,2.52
0.903,0.57,1.22,2.33
0.908,0.54,1.17,2.11
0.914,0.53,1.13,1.88
0.927,0.53,1.11,1.69
0.929,0.53,1.09,1.52
0.93,0.54,1.07,1.34
0.953,0.54,1.05,1.17
0.954,0.53,1.03,0.99
0.955,0.51,1.01,0.81
0.956,0.44,0.98,0.63
0.957,0.37,0.94,0.47
0.959,0.3,0.9,0.31
0.964,0.14,0.77,0.06
0.971,0.05,0.69,0
0.974,-0.06,0.63,-0.03
0.979,-0.16,0.58,-0.02
0.985,-0.27,0.53,0.01
0.989,-0.38,0.5,0.04
0.994,-0.48,0.48,0.06
1.004,-0.57,0.46,0.04
1.005,-0.64,0.46,0.05
1.016,-0.71,0.46,0.08
1.017,-0.75,0.46,0.16
1.024,-0.79,0.45,0.24
1.025,-0.8,0.44,0.3
1.029,-0.78,0.47,0.36
1.045,-0.72,0.54,0.36
1.049,-0.71,0.61,0.39
1.05,-0.62,0.69,0.34
1.051,-0.56,0.73,0.23
1.075,-0.52,0.79,0.09
1.077,-0.4,0.96,-0.03
1.078,-0.32,1.11,-0.09
1.079,-0.31,1.12,-0.11
1.08,-0.35,1.05,-0.14
1.081,-0.36,1,-0.13
1.103,-0.34,1.02,-0.04
1.104,-0.32,1.05,0.09
1.112,-0.33,1.06,0.19
1.114,-0.34,1.06,0.3
1.116,-0.35,1.02,0.41
1.117,-0.36,0.97,0.54
1.119,-0.37,0.91,0.66
1.121,-0.43,0.89,0.79
1.128,-0.5,0.88,0.93
1.13,-0.54,0.9,1.08
1.142,-0.53,0.9,1.26
1.143,-0.52,0.91,1.48
1.145,-0.47,0.92,1.71
1.154,-0.4,0.97,1.94
1.155,-0.33,1.05,2.15
1.16,-0.31,1.09,2.29
1.167,-0.31,1.13,2.37
1.17,-0.33,1.19,2.4
1.175,-0.39,1.26,2.4
1.18,-0.44,1.34,2.43
1.19,-0.42,1.42,2.57
1.193,-0.35,1.5,2.83
1.195,-0.25,1.53,3.18
1.201,-0.29,1.4,3.27
1.205,-0.03,1.55,3.77
1.21,0.04,1.51,4.01
1.217,0.05,1.26,4.01
1.22,0.14,0.99,3.81
1.225,0.37,0.83,3.63
1.23,0.71,0.76,3.29
1.235,0.83,0.72,3.11
1.24,0.92,0.66,2.99
1.245,0.88,0.48,2.8
1.251,0.93,0.44,2.67
1.255,1,0.43,2.59
1.26,1.09,0.45,2.51
1.267,1.11,0.35,2.36
1.271,0.96,0.17,2.17
1.276,0.77,0,1.96
1.281,0.65,-0.13,1.75
1.286,0.55,-0.2,1.51
1.291,0.46,-0.24,1.28
1.296,0.38,-0.26,1.1
1.301,0.3,-0.27,0.93
1.306,0.22,-0.3,0.78
1.311,0.17,-0.32,0.66
1.324,0.15,-0.33,0.56
1.325,0.17,-0.31,0.46
1.326,0.22,-0.31,0.37
1.335,0.26,-0.3,0.28
1.336,0.29,-0.3,0.2
